,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0,0.0,113.46037483277432,-52.361940064902704,55.2179761796272,-0.7890396502214536,0.09375394049420413,0.6859549737384757,-630.1035765302721,-140.65622515166987,-813.8475530583607,-116.7617592953894,520.125752323034,87.23719293626384,0.0,23.129521985389434,424.2124994495127,-181.1455800241486,678.397206852551,837.8945296279801,33.362916935201476,0.0,-667.059678852863,-107.829306229151,5.819271246897548,269.04457591013806,36.69637415205181,125.23968828249025,-3.803900085434316,1615.707679787443,271.9980131378788,-51.15922259910985,1344.918221709203,-7.472912158034139e-37,1552.5032692741827
1,0.0166667,71.85104209185553,44.52533146121108,50.07231846891345,-0.5198218686579607,0.226328613449969,0.6925832952705525,-533.3063884321682,-89.06145969256706,-653.6775635246399,-86.06463079115255,412.38950766726157,120.07670265519184,0.0,-94.30373536608758,314.08547247329767,-195.4969728108281,442.2066706792093,542.7327246993461,27.02907123458479,0.0,-642.2748930323419,-60.51066844736015,28.72500903216434,246.63790952136526,16.465187717888607,160.45583218366966,13.236012053950214,1420.7699053334443,256.9537547664942,-34.87429740127775,839.4150348928074,4.762716519793693e-37,1224.022227874049
2,0.0333333,29.578161570072304,128.60467629411332,41.85891904819002,-0.2508710991437264,0.32007466860035777,0.6766838076249772,-416.77730794178245,-34.19584598354922,-469.8888933749917,-58.99669945053092,291.52418491294105,138.21234344553065,0.0,-190.89191514537853,196.3077509529011,-197.12013922780372,207.50154091316054,246.25522171376053,14.044183548184469,0.0,-586.2274023546366,-18.369457876996087,51.32658406902169,215.27121337291686,-1.5372249096955972,164.6709504140415,29.884600680378153,1125.8652461107336,228.99747781713188,-17.803197393952814,363.8249336640065,2.873286650385709e-36,840.8846448739639
3,0.05,-6.805999663642252,178.55317081243197,29.81029969933136,-0.026366872804111235,0.33661152299932584,0.6208359620725421,-285.0282603992739,16.199092367160496,-274.87104129178465,-40.7077727164463,166.32157951962176,128.63723076763372,0.0,-238.98547780405917,85.81337896032103,-174.66158253721966,8.560664775504783,-4.6827485974700735,-4.607851597170496,0.0,-486.79648339724827,10.767775406177773,69.34054867191098,173.3739966660294,-14.207998839164093,125.77829527973805,42.692284588440415,731.6753446647309,184.5655044890799,-1.7290383043657531,3.2325119099373296,4.72450105928166e-36,439.0478038423463
4,0.0666667,-27.97329243116079,177.54180651069245,15.9621805371238,0.09419145284666429,0.2618183478460868,0.518687442939876,-162.24859781160052,47.30311551894461,-108.14045894891377,-33.59390116467068,60.88950871352758,87.99200001732927,0.0,-221.26482227774184,10.83969034869816,-123.64893877261291,-110.22110962711854,-145.23536293605008,-20.308398699800282,0.0,-356.63029421046144,21.596276875326083,76.781065344445,126.84153438861,-19.616715682921516,59.40244563849367,47.097965366521436,339.95782607099636,131.24438951937063,10.208791079858102,-161.6162391836424,1.5756950255923486e-36,120.74848556156414
5,0.0833333,-31.52008474831182,131.76506013315415,3.8472924989689723,0.09733017056216414,0.12684568575564295,0.3797713402642817,-70.06971650577574,50.389734341338205,-0.7306842249628787,-33.18450341609382,-7.407507333095756,29.158136555460004,0.0,-151.30289673328554,-14.405067596076254,-52.55557358881318,-138.64175761898238,-158.5147784721399,-24.564565671870433,0.0,-223.58727314197182,17.16704255313687,71.3314023769134,83.62795985004728,-18.980815734816037,-2.199165312585759,41.81683241269757,64.99035876422991,81.73797552165868,16.41772447324035,-145.37305712359253,-9.056977270470117e-36,-43.58226301725405
6,0.1,-24.131480070920347,68.63413847135152,-3.5171021864748786,0.02989981816891418,-0.007147438977027892,0.22912990767632013,-14.870509789404123,30.194625544788533,44.25518467482013,-31.57883459754904,-37.96251911705363,-24.18486571136305,0.0,-67.3906840964141,-2.1281143541929444,17.5907486128688,-107.02968568312103,-92.06835120938109,-16.789355846042202,0.0,-114.51533241318621,6.5485759580090015,56.142851744730244,49.080939278053016,-15.415375927606936,-34.6548355445493,30.121672018482283,-51.153425305321434,45.651108496370036,17.685561138518526,-49.696781191278404,-2.0012417202560488e-35,-69.64891154495751
7,0.1166667,-15.162452993615936,17.00660119253839,-5.236008051941182,-0.041768031181442594,-0.08867905220967993,0.09940874189561168,9.212842693660381,1.2628558946626702,45.201189895377745,-24.793813066015584,-41.37598155506504,-52.68950387881455,0.0,-5.562780704400261,20.32418399997142,62.15042537074849,-56.06409046287247,-16.09087031588536,-4.532923747660053,0.0,-43.072184442673034,-2.164610457193318,37.162776708162426,24.77639010521858,-11.444555169400559,-36.52030167575107,17.180517321383043,-50.41395798826323,25.08712907821774,15.924188317291723,25.27495841474617,-1.2465594795043385e-35,-29.592024759601795
8,0.1333333,-10.004488472126738,-9.618319108446542,-2.8675914520188313,-0.07706547866639984,-0.10343660798655083,0.01715649715638553,12.810887887960266,-21.328858019730323,26.875301004477755,-15.393501184713804,-31.167061788045093,-53.51528926651047,0.0,20.695922767175013,30.21145078157765,65.73364826261472,-10.41503678707262,24.172450081542003,3.086588215485422,0.0,-7.428274156034718,-5.711448101175487,19.705382726697643,9.71495094825302,-8.185409625194763,-22.993279287959165,6.786551436210242,-7.976794103753434,16.03609654577861,12.894657306938516,43.36484244975039,2.857006640819784e-35,10.092968063200441
9,0.15,-8.84139800923394,-14.966000276951453,0.7880621076436637,-0.07355470295313699,-0.07224436241438881,-0.010836894170393725,7.071096150733132,-29.621745684397176,9.636487562153814,-8.35885602278476,-19.265230766106793,-39.85561770915359,0.0,20.32262233067509,21.288983402345423,31.52881634277039,23.495752281399465,23.80032406754303,1.9761913119925514,0.0,3.959359182411182,-4.8922827707166885,6.805122534925829,1.8736294278879961,-5.930241188783889,-9.836592225430696,0.0007348372913702494,22.639241557996893,12.765937377419291,9.76862949735506,24.402596540073638,8.189490018980252e-35,22.899196465226165
